time,open,high,low,close,Volume
1635724800,3.6925,3.6935,3.597,3.6,5803.9732
1635725700,3.6,3.616,3.569,3.569,678.8835
1635726600,3.569,3.6015,3.5495,3.5635,1017.29405
1635727500,3.5635,3.581,3.5495,3.5685,175.1113
1635728400,3.5685,3.5775,3.553,3.568,62.0977
1635729300,3.568,3.5695,3.5445,3.546,98.0805
1635730200,3.546,3.5485,3.5305,3.5305,159.41675
1635731100,3.5305,3.539,3.5305,3.532,142.1908
1635732000,3.532,3.5355,3.5205,3.526,161.2097
1635732900,3.526,3.5275,3.4545,3.4555,2697.58975
1635733800,3.4555,3.4795,3.4545,3.468,46.48755
1635734700,3.468,3.477,3.458,3.4665,42.63015
1635735600,3.4665,3.4795,3.4665,3.4785,14.606
1635736500,3.4785,3.4865,3.4665,3.475,129.13285
1635737400,3.475,3.5135,3.475,3.485,580.65925
1635738300,3.485,3.513,3.477,3.483,92.57765
1635739200,3.483,3.483,3.445,3.462,406.2047
1635740100,3.462,3.4775,3.4575,3.473,109.7081
1635741000,3.473,3.499,3.473,3.4895,307.2582
1635741900,3.4895,3.4935,3.483,3.4935,23.35605
1635742800,3.4935,3.5155,3.4905,3.5155,99.0072
1635743700,3.5155,3.519,3.483,3.485,271.8178
1635744600,3.485,3.513,3.485,3.5095,80.6648
1635745500,3.5095,3.525,3.5045,3.5225,270.7405
1635746400,3.5225,3.5295,3.494,3.5135,760.42785
1635747300,3.5135,3.52,3.504,3.52,13.3571
1635748200,3.52,3.547,3.5015,3.524,286.94115
1635749100,3.524,3.525,3.5115,3.5225,24.98665
1635750000,3.5225,3.5535,3.521,3.537,233.6365
1635750900,3.537,3.5545,3.5275,3.5315,106.51805
1635751800,3.5315,3.5515,3.5275,3.5315,1172.4384
1635752700,3.5315,3.547,3.5315,3.5385,12.74975
1635753600,3.5385,3.54,3.5275,3.5275,80.88535
1635754500,3.5275,3.5275,3.5115,3.517,304.2289
1635755400,3.517,3.5245,3.494,3.4965,348.07675
1635756300,3.4965,3.5235,3.4965,3.5055,564.1328
1635757200,3.5055,3.5495,3.5055,3.546,310.5936
1635758100,3.546,3.55,3.533,3.5435,22.6418
1635759000,3.5435,3.551,3.5425,3.5505,23.0555
1635759900,3.5505,3.5635,3.5475,3.552,102.0862
1635760800,3.552,3.552,3.539,3.545,10.29225
1635761700,3.545,3.5455,3.534,3.535,11.6873
1635762600,3.535,3.5535,3.535,3.5435,8.16885
1635763500,3.5435,3.5465,3.5435,3.5445,1.41755
1635764400,3.5445,3.569,3.5445,3.5615,202.41555
1635765300,3.5615,3.5615,3.5445,3.548,6.39785
1635766200,3.548,3.5615,3.5475,3.5615,1.06645
1635767100,3.5615,3.562,3.5445,3.5495,28.844
1635768000,3.5495,3.5905,3.5495,3.5755,248.57195
1635768900,3.5755,3.583,3.5495,3.55,316.66275
1635769800,3.55,3.55,3.5305,3.5305,487.38565
1635770700,3.5305,3.565,3.5305,3.5445,392.7048
1635771600,3.5445,3.547,3.5305,3.5335,138.21915
1635772500,3.5335,3.571,3.5335,3.5675,175.86245
1635773400,3.5675,3.6145,3.5535,3.562,3521.8423
1635774300,3.562,3.5875,3.562,3.562,1099.621
1635775200,3.562,3.567,3.5495,3.5495,236.16225
